-	1828485	1828488	1828490	1828494	1828498	1828502	1828506	1828508
1705173132	30373	41495	67399	36789	39793	31659	31482	35331
1705173162	25761	2874	74185	70215	3864	20854	10977	92538
1705173192	33698	120475	61227	11161	30050	11333	20620	45194
1705173222	58336	60917	12433	31992	153533	10694	4270	18575
1705173252	38006	2443	28106	6923	82836	73267	68550	26991
1705173282	8798	69591	3499	21121	2575	27796	37193	35805
1705173312	20055	1489	74451	34448	39078	41795	28170	904
1705173342	38541	35967	25625	69035	30323	47204	61101	29661
1705173372	41691	928	18554	40757	69776	62140	37439	20648
1705173402	39142	11575	69223	6671	1508	39117	75884	1268
1705173432	24143	32248	37658	20314	932	42492	31686	41545
1705173462	154488	12095	52350	24767	754	45231	7763	34186
1705173492	45820	1173	83644	56614	12134	39548	20692	63355
1705173522	18318	30050	17973	68450	6679	19709	51710	44917
1705173552	54262	56932	27581	31455	54765	26156	31146	56361
1705173582	965	31911	36047	57081	27224	19012	61803	32914
1705173612	68678	35895	1854	57845	939	52415	42429	37329
1705173642	1039	49451	39461	48400	1080	68479	14110	43323
1705173672	885	51802	9126	45103	1373	35025	126762	64996
1705173702	1192	50146	5392	63114	9383	61170	20771	50558
1705173732	11556	26967	38283	40542	38816	51610	49268	58396
1705173762	32912	64947	47361	46046	59765	44854	1948	16535
1705173792	12277	48587	66677	71952	16365	18782	7254	61163
1705173822	5487	44059	31957	18942	60867	71506	42957	25053
1705173852	37135	52566	17823	28941	30152	29461	914	71985
1705173882	46173	44810	75598	3608	74893	37947	5781	31697
1705173912	43076	22281	34251	68207	38843	54957	39971	36685
1705173942	57113	62407	28296	19182	55144	35212	68707	53027
1705173972	17338	25713	75930	78888	24019	62818	30330	24800
1705174002	48782	75464	18703	21740	30871	44081	19361	37372
1705174032	46635	25264	28139	21355	65824	55246	29115	58493
1705174062	24700	46894	8473	82914	32930	24584	12056	34270
1705174092	71257	50312	43215	23248	40240	40672	73589	26375
1705174122	26732	24763	76562	39040	55498	60230	25002	22278
1705174152	36895	39429	18183	2914	22054	16454	31338	105694
1705174182	20126	59085	22137	133271	38673	42071	62560	26988
1705174212	78590	18867	9821	11669	55544	61718	32049	36070
1705174242	32000	37968	64908	34843	25953	16274	16911	35408
1705174272	22259	66144	32928	34894	39053	36116	41641	949
1705174302	7250	73271	15640	988	83365	92422	58701	11608
1705174332	41348	18508	74131	26938	36882	49307	18373	39918
1705174362	59935	28953	35219	24178	8010	28753	38661	1089
1705174392	17680	33575	36447	995	21676	34990	129386	8667
1705174422	74379	3039	58090	14487	39800	2217	10604	73455
1705174452	22813	37746	18667	68266	56385	37287	37783	24779
1705174482	28233	12522	67954	31091	36200	12271	23988	36791
1705174512	56421	6092	30114	45038	16501	6177	6951	69084
1705174542	56327	34956	27924	53909	34844	33378	42240	35850
1705174572	32087	11308	25588	25800	62541	69646	1025	17440
1705174602	19146	129921	17898	41708	22991	40970	5745	32629
1705174632	10150	10638	164744	2594	30940	18942	36107	9439
1705174662	21083	27349	39474	93786	53827	21627	2602	89597
1705174692	63898	36339	18538	39627	24436	11660	107905	42794
1705174722	25436	861	52763	35076	26650	39874	35952	35264
1705174752	40958	29412	925	35289	23332	39591	34751	35627
1705174782	51743	21582	69773	869	88339	92848	892	844
1705174812	32428	1097	1534	30460	50819	35932	19304	30231
1705174842	37256	34573	1025	20475	39396	34995	11185	20461
1705174872	55560	65731	1092	1281	23535	934	51347	1164
1705174902	23825	53142	12172	40398	7452	31155	47492	41546
1705174932	70010	4137	33601	50095	44405	19567	18739	58386
1705174962	29860	27765	12337	26137	1072	5098	80008	29303
1705174992	42783	39626	5800	34121	9231	39690	25275	29038
1705175022	49460	48469	23932	59140	35497	69176	41387	27912
1705175052	19925	18108	59406	73227	83620	30476	55449	69788
1705175082	43087	43752	35512	35032	23309	18564	25037	36604
1705175112	63620	59076	16461	35950	17817	28482	31255	16309
1705175142	25646	28128	84171	937	28793	3816	51026	41493
1705175172	39152	44668	28049	12185	3596	35593	64473	62543
1705175202	56811	52812	15809	41144	39698	92173	18541	24349
1705175232	25632	52659	39040	1019	83309	41785	28948	18873
1705175262	36582	19283	84009	6644	32042	35215	3446	43149
1705175292	43407	28907	18351	40540	19442	35162	77777	67623
1705175322	66335	4495	20119	73934	11486	982	122295	18875
1705175352	18516	97798	36187	16717	45194	30829	103308	53773
1705175382	29806	48704	54677	38346	48096	20657	50336	49498
1705175412	33372	3461	0	6398	0	5653	0	3480
